,tweet_id,timestamp,rating_numerator,rating_denominator,retweet_count,favorite_count,month,year
0,892420643555336193,2017-08-01 16:23:56+00:00,13,10,6970,33697,8,2017
1,892177421306343426,2017-08-01 00:17:27+00:00,13,10,5272,29228,8,2017
2,891815181378084864,2017-07-31 00:18:03+00:00,12,10,3464,21976,7,2017
3,891689557279858688,2017-07-30 15:58:51+00:00,13,10,7191,36795,7,2017
4,891327558926688256,2017-07-29 16:00:24+00:00,12,10,7718,35185,7,2017
5,891087950875897856,2017-07-29 00:08:17+00:00,13,10,2586,17752,7,2017
6,890971913173991426,2017-07-28 16:27:12+00:00,13,10,1647,10335,7,2017
7,890729181411237888,2017-07-28 00:22:40+00:00,13,10,15682,56675,7,2017
8,890609185150312448,2017-07-27 16:25:51+00:00,13,10,3604,24429,7,2017
9,890240255349198849,2017-07-26 15:59:51+00:00,14,10,6068,27851,7,2017
10,890006608113172480,2017-07-26 00:31:25+00:00,13,10,6111,26952,7,2017
11,889880896479866881,2017-07-25 16:11:53+00:00,13,10,4141,24488,7,2017
12,889665388333682689,2017-07-25 01:55:32+00:00,13,10,8303,41883,7,2017
13,889638837579907072,2017-07-25 00:10:02+00:00,12,10,3700,23580,7,2017
14,889531135344209921,2017-07-24 17:02:04+00:00,13,10,1874,13314,7,2017
15,889278841981685760,2017-07-24 00:19:32+00:00,13,10,4419,22029,7,2017
16,888917238123831296,2017-07-23 00:22:39+00:00,12,10,3742,25533,7,2017
17,888804989199671297,2017-07-22 16:56:37+00:00,13,10,3513,22397,7,2017
18,888554962724278272,2017-07-22 00:23:06+00:00,13,10,2863,17253,7,2017
19,888078434458587136,2017-07-20 16:49:33+00:00,12,10,2885,19103,7,2017
20,887705289381826560,2017-07-19 16:06:48+00:00,13,10,4519,26532,7,2017
21,887517139158093824,2017-07-19 03:39:09+00:00,14,10,9811,40593,7,2017
22,887473957103951883,2017-07-19 00:47:34+00:00,13,10,14952,59983,7,2017
23,887343217045368832,2017-07-18 16:08:03+00:00,13,10,8776,29493,7,2017
24,887101392804085760,2017-07-18 00:07:08+00:00,12,10,4970,26896,7,2017
25,886983233522544640,2017-07-17 16:17:36+00:00,13,10,6287,30241,7,2017
26,886736880519319552,2017-07-16 23:58:41+00:00,13,10,2616,10455,7,2017
27,886680336477933568,2017-07-16 20:14:00+00:00,13,10,3720,19655,7,2017
28,886366144734445568,2017-07-15 23:25:31+00:00,12,10,2613,18490,7,2017
29,886267009285017600,2017-07-15 16:51:35+00:00,12,10,4,105,7,2017
30,886258384151887873,2017-07-15 16:17:19+00:00,13,10,5254,24445,7,2017
31,885984800019947520,2017-07-14 22:10:11+00:00,12,10,5590,28498,7,2017
32,885528943205470208,2017-07-13 15:58:47+00:00,13,10,5306,31486,7,2017
33,885518971528720385,2017-07-13 15:19:09+00:00,14,10,3098,17940,7,2017
34,885167619883638784,2017-07-12 16:03:00+00:00,13,10,3653,19189,7,2017
35,884925521741709313,2017-07-12 00:01:00+00:00,12,10,14945,67032,7,2017
36,884876753390489601,2017-07-11 20:47:12+00:00,13,10,4639,24302,7,2017
37,884562892145688576,2017-07-11 00:00:02+00:00,13,10,3896,21245,7,2017
38,884441805382717440,2017-07-10 15:58:53+00:00,14,10,4777,23782,7,2017
39,884247878851493888,2017-07-10 03:08:17+00:00,13,10,16825,63030,7,2017
40,884162670584377345,2017-07-09 21:29:42+00:00,12,10,2493,17890,7,2017
41,883838122936631299,2017-07-09 00:00:04+00:00,12,10,2850,19094,7,2017
43,883360690899218434,2017-07-07 16:22:55+00:00,13,10,3061,19881,7,2017
44,883117836046086144,2017-07-07 00:17:54+00:00,13,10,5512,32390,7,2017
45,882992080364220416,2017-07-06 15:58:11+00:00,13,10,3229,20920,7,2017
46,882762694511734784,2017-07-06 00:46:41+00:00,12,10,4078,24699,7,2017
47,882627270321602560,2017-07-05 15:48:34+00:00,13,10,5043,24530,7,2017
48,882268110199369728,2017-07-04 16:01:23+00:00,13,10,9584,39048,7,2017
49,882045870035918850,2017-07-04 01:18:17+00:00,13,10,4067,25628,7,2017
50,881906580714921986,2017-07-03 16:04:48+00:00,12,10,2840,21378,7,2017
51,881666595344535552,2017-07-03 00:11:11+00:00,13,10,8913,44399,7,2017
52,881633300179243008,2017-07-02 21:58:53+00:00,17,10,8,113,7,2017
53,881536004380872706,2017-07-02 15:32:16+00:00,14,10,13352,43267,7,2017
